Depth,Nodes,Scheduler,Step,Mean_Variance,CI_Lower,CI_Upper
4,46,parallel,1,0.7513969754253308,0.7418271832593198,0.7609667675913417
4,46,parallel,2,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,3,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,4,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,5,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,6,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,7,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,8,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,9,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,10,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,11,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,12,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,13,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,14,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,15,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,16,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,17,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,18,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,19,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,parallel,20,0.6436275992438563,0.6329115177340213,0.6543436807536912
4,46,serial,1,0.7183553875236295,0.7091870061957,0.727523768851559
4,46,serial,2,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,3,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,4,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,5,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,6,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,7,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,8,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,9,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,10,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,11,0.5778544423440453,0.5680723280702021,0.5876365566178884
4,46,serial,12,0.5778544423440453,0.5680723280702021,0.5876365566178884
